,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
526,526,Steinfl & Bruno,104400.0,99180.0,109620.0,104400.0,104400.0,,,Data Scientist,UK
527,527,Albclusclus LTD,87000.0,83520.0,90480.0,,,,,Data Scientist,UK
529,529,Sentinel Technologies,111360.0,106140.0,116580.0,112230.0,112230.0,9570.0,,Data Scientist,UK
530,530,Soma Enterprise,34800.0,33060.0,36540.0,34800.0,34800.0,,,Data Scientist,UK
531,531,/,52200.0,50460.0,53940.0,,,,,Data Scientist,UK
532,532,Startup Network,83520.0,6960.0,6960.0,6960.0,6960.0,,,Data Scientist,UK
533,533,Amplifi Capital,57420.0,55680.0,59160.0,56550.0,56550.0,,,Data Scientist,UK
534,534,MRO,87870.0,85260.0,90480.0,88740.0,88740.0,,,Data Scientist,UK
535,535,IBM GBS,34800.0,33060.0,36540.0,84360.42,,,,Data Scientist,UK
536,536,LivingLens,60900.0,59160.0,62640.0,,,,,Data Scientist,UK
537,537,JBA International,60030.0,57420.0,62640.0,60900.0,60900.0,,,Data Scientist,UK
538,538,FB,174000.0,167040.0,180960.0,,,,,Data Scientist,UK
539,539,Graphnile,93960.0,90480.0,97440.0,93960.0,93960.0,,,Data Scientist,UK
540,540,SYNTASA,107880.0,104400.0,111360.0,108750.0,108750.0,10440.0,,Data Scientist,UK
541,541,Mahesh Drugs,52200.0,50460.0,53940.0,,,,,Data Scientist,UK
542,542,Lectrefy,60900.0,59160.0,62640.0,,,,,Data Scientist,UK
543,543,GEOLYTIX,87000.0,83520.0,90480.0,87870.0,87870.0,8700.0,,Data Scientist,UK
544,544,Buró de Crédito,61770.0,59160.0,64380.0,,,,,Data Scientist,UK
545,545,Lytt,121800.0,116580.0,127020.0,121800.0,121800.0,12180.0,,Data Scientist,UK
546,546,RedOwl,108750.0,104400.0,113100.0,,,,,Data Scientist,UK
547,547,Casino YAK,86130.0,83520.0,88740.0,87000.0,87000.0,,,Data Scientist,UK
548,548,Otherlab,104400.0,8700.0,8700.0,8700.0,8700.0,,,Data Scientist,UK
549,549,Captur limited,43430.4,43430.4,43430.4,,,,,Data Scientist Intern,UK
550,550,iDAS Global,68730.0,66120.0,71340.0,69600.0,69600.0,,,Data Scientist,UK
551,551,dunnhumby,105720.66,83520.0,113100.0,105720.66,8764.38,8764.38,,Senior Data Scientist,UK
552,552,Ministry of Justice UK,71244.3,69600.0,80040.0,71244.3,,,,Senior Data Scientist,UK
553,553,Tesco,122027.94,93960.0,125280.0,122027.94,3486.96,3486.96,,Senior Data Scientist,UK
554,554,Capgemini,129757.02,104400.0,163560.0,129757.02,,,,Senior Data Scientist,UK
555,555,BAE Systems Applied Intelligence,73231.38,69600.0,87000.0,73231.38,3114.6,3114.6,1310.22,Senior Data Scientist,UK
556,556,King,114765.18,90480.0,125280.0,114765.18,16610.04,13968.72,21372.42,Senior Data Scientist,UK
557,557,Kantar (Worldpanel Division),48459.0,46980.0,48720.0,48459.0,,,,Senior Data Scientist,UK
558,558,IBM,171153.36,87000.0,177480.0,171153.36,132.24,262.74,1.74,Senior Data Scientist,UK
559,559,IQVIA,105177.78,104400.0,106140.0,105177.78,8764.38,8764.38,,Senior Data Scientist,UK
560,560,carwow,139847.28,130500.0,140940.0,139847.28,,,,Senior Data Scientist,UK
561,561,Royal Mail,83161.56,71340.0,85260.0,83161.56,,,,Junior Data Scientist,UK
562,562,Mango Solutions,46894.74,46980.0,271440.0,46894.74,,,,Junior Data Scientist,UK
563,563,Accenture,92136.48,88740.0,102660.0,92136.48,,,,Data Scientist,UK
564,564,dunnhumby,60788.64,53940.0,76560.0,60788.64,5239.14,5239.14,,Data Scientist,UK
565,565,Barclays,136590.0,107880.0,165300.0,138330.0,138330.0,1696.5,,Senior Data Scientist,UK
566,566,EY,115710.0,109620.0,121800.0,115710.0,115710.0,13050.0,,Senior Data Scientist,UK
567,567,THG,107880.0,83520.0,132240.0,107010.0,107010.0,5220.0,,Senior Data Scientist,UK
568,568,Expedia Group,150510.0,139200.0,161820.0,150510.0,150510.0,19140.0,,Senior Data Scientist,UK
570,570,Worldpay,100920.0,76560.0,125280.0,100920.0,100920.0,,,Senior Data Scientist,UK
571,571,Rank Group,89610.0,85260.0,93960.0,89610.0,89610.0,,,Senior Data Scientist,UK
572,572,Universal Music Group,130500.0,125280.0,135720.0,,,,,Senior Data Scientist,UK
573,573,Department for Transport,73950.0,69600.0,78300.0,73950.0,73950.0,,,Senior Data Scientist,UK
574,574,Skimlinks,121800.0,111360.0,132240.0,121800.0,121800.0,3480.0,,Senior Data Scientist,UK
575,575,QuantumBlack,131370.0,125280.0,137460.0,131370.0,131370.0,22620.0,,Senior Data Scientist,UK
576,576,Sensyne Health,112230.0,107880.0,116580.0,113100.0,113100.0,4350.0,,Senior Data Scientist,UK
577,577,NatWest Group,81780.0,73080.0,90480.0,81780.0,81780.0,,,Junior Data Scientist,UK
578,578,BBC,61770.0,59160.0,64380.0,61770.0,61770.0,,,Junior Data Scientist,UK
579,579,Experian,79170.0,76560.0,81780.0,78300.0,78300.0,8700.0,,Junior Data Scientist,UK
580,580,Altius,60900.0,57420.0,64380.0,60900.0,60900.0,3480.0,,Junior Data Scientist,UK
581,581,QinetiQ,54810.0,52200.0,57420.0,53940.0,53940.0,,,Data Scientist,UK
582,582,Lloyds Banking Group,127890.0,111360.0,144420.0,127890.0,127890.0,18270.0,,Lead Data Scientist,UK
583,583,Aviva,77430.0,67860.0,87000.0,78300.0,78300.0,6090.0,,Lead Data Scientist,UK
584,584,Microsoft,164430.0,156600.0,172260.0,164430.0,164430.0,34800.0,52200.0,Lead Data Scientist,UK
585,585,Deliveroo,135720.0,128760.0,142680.0,135720.0,135720.0,,,Lead Data Scientist,UK
586,586,dunnhumby,120930.0,109620.0,132240.0,120930.0,120930.0,18270.0,,Lead Data Scientist,UK
587,587,THG,60030.0,50460.0,69600.0,60030.0,60030.0,,,Senior Data Scientist,UK
588,588,First Derivatives,34800.0,33060.0,36540.0,34800.0,34800.0,,,Data Scientist,UK
589,589,Amazon,133110.0,127020.0,139200.0,133110.0,133110.0,,,Senior Data Scientist,UK
592,592,Vodafone,145290.0,139200.0,151380.0,144420.0,144420.0,36540.0,,Senior Data Scientist,UK
594,594,BBC,124410.0,120060.0,128760.0,125280.0,125280.0,,,Senior Data Scientist,UK
595,595,GlaxoSmithKline,63510.0,60900.0,66120.0,63510.0,63510.0,,,Senior Data Scientist,UK
596,596,University of Cambridge,88740.0,85260.0,92220.0,90480.0,90480.0,,,Senior Data Scientist,UK
597,597,University College London,87000.0,83520.0,90480.0,87000.0,87000.0,,,Senior Data Scientist,UK
