,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
361,361,Loblaw Digital,145500.0,140000.0,151000.0,145000.0,145000.0,,20000.0,Lead Data Scientist,CA
362,362,Intact,60320.0,58240.0,62400.0,,,,,Data Scientist Intern,CA
363,363,Loblaw Companies,70000.0,67000.0,73000.0,70500.0,70500.0,,,Data Scientist,CA
364,364,Canadian Tire,69000.0,66000.0,72000.0,68000.0,68000.0,2000.0,2000.0,Data Scientist,CA
365,365,Cirque du Soleil Entertainment Group,100000.0,95000.0,105000.0,100500.0,100500.0,,,Lead Data Scientist,CA
366,366,1000ml,36000.0,3000.0,3000.0,,,,,Data Scientist,CA
367,367,Avanade,130000.0,125000.0,135000.0,130000.0,130000.0,5000.0,,Lead Data Scientist,CA
368,368,dunnhumby,65500.0,63000.0,68000.0,66000.0,66000.0,6500.0,,Data Scientist,CA
369,369,Scotiabank,62400.0,60320.0,64480.0,,,,,Data Scientist Intern,CA
370,370,Scotiabank,83200.0,79040.0,87360.0,,,,,Data Scientist Intern,CA
371,371,CIBC,47000.0,45000.0,49000.0,,,,,Data Scientist Intern,CA
372,372,CIBC,58240.0,56160.0,60320.0,,,,,Data Scientist Intern,CA
373,373,IBM,52000.0,49920.0,54080.0,,,,,Data Scientist Intern,CA
374,374,KPMG,49000.0,47000.0,51000.0,,,,,Data Scientist Intern,CA
375,375,Shopify,70500.0,68000.0,73000.0,71000.0,71000.0,495.0,,Data Scientist Intern,CA
376,376,Ontario Ministère des Transports,36000.0,35000.0,37000.0,36000.0,36000.0,,,Data Scientist Intern,CA
377,377,Statistics Canada,43680.0,43680.0,45760.0,,,,,Data Scientist Intern,CA
378,378,Unilever,45760.0,43680.0,47840.0,45760.0,45760.0,,,Data Scientist Intern,CA
379,379,BioWare,48000.0,46000.0,50000.0,,,,,Data Scientist Intern,CA
380,380,FGF Brands,43680.0,41600.0,45760.0,,,,,Data Scientist Intern,CA
381,381,Precima,66560.0,64480.0,68640.0,,,,,Data Scientist Intern,CA
382,382,Ayogo Health,48000.0,4000.0,4000.0,,,,,Data Scientist Intern,CA
384,384,Buyavette,45760.0,43680.0,47840.0,45760.0,45760.0,2000.0,,Data Scientist Intern,CA
385,385,IATA,178000.0,173000.0,183000.0,179000.0,179000.0,,,Lead Data Scientist,CA
