,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
3304,AUROTECH,Data Scientist,132965.0,127070.0,138860.0,132965.0,132965.0,,
3305,FitBliss,Data Scientist - Monthly Intern,2620.0,2620.0,2620.0,,,,
3306,gloStream,Data Scientist,99560.0,95630.0,103490.0,100870.0,100870.0,,
3307,Leguide.com,Data Scientist,85150.0,82530.0,87770.0,85150.0,85150.0,,
3308,Valia,Data Scientist - Monthly,861.98,822.6800000000001,902.59,869.84,869.84,,
3309,ENGIE Impact,Data Scientist,129035.0,123140.0,134930.0,129035.0,129035.0,,
3310,Bioclinica,Data Scientist,144100.0,138860.0,149340.0,144755.0,144755.0,,
3311,Tracfone Wireless,Data Scientist,193880.0,186020.0,201740.0,195190.0,195190.0,,
3312,Ria Financial,Data Scientist,106765.0,102180.0,111350.0,107420.0,107420.0,,
3313,Marriott International,Data Scientist - Hourly Intern,49046.4,49046.4,51771.200000000004,,,,
3314,ProQuest,Data Scientist,140825.0,134930.0,146720.0,32.75,32.75,,
3315,Hhdj,Data Scientist,99560.0,95630.0,103490.0,,,,
3316,LinkIt!,Data Scientist,121830.0,116590.0,127070.0,121830.0,121830.0,,
3317,Correct Craft,Data Scientist,89735.0,86460.0,93010.0,89080.0,89080.0,,
3318,Afresh Technologies,Data Scientist,214185.0,205670.0,222700.0,210255.0,210255.0,,
3319,TekSky,Data Scientist,108075.0,103490.0,112660.0,107420.0,107420.0,,
3320,Data Cubed,Data Scientist,137550.0,132310.0,142790.0,136240.0,136240.0,,
3321,CopperPoint Insurance Companies,Data Scientist,91045.0,87770.0,94320.0,91045.0,91045.0,,9170.0
3322,Musicnotes,Data Scientist,13755.0,13100.0,14410.0,13755.0,13755.0,,
3323,onPeak,Data Scientist,104800.0,100870.0,108730.0,106110.0,106110.0,7860.0,
3324,Massini Group,Data Scientist - Hourly,92643.2,89918.40000000001,98092.8,92643.2,92643.2,,
3325,Nanometrics,Data Scientist,198465.0,191260.0,205670.0,199775.0,199775.0,,
3326,FarmLogs,Data Scientist,141480.0,136240.0,146720.0,142135.0,142135.0,,
3327,InMoment,Data Scientist,187330.0,179470.0,195190.0,186675.0,186675.0,26200.0,
3328,Novetta,Data Scientist - Hourly Intern,54496.0,54496.0,57220.8,,,,
3329,Raytheon BBN Technologies,Data Scientist,186675.0,178160.0,195190.0,186020.0,186020.0,,13755.0
3330,Dealer Tire,Data Scientist - Hourly Intern,49046.4,46321.6,51771.200000000004,,,,
3331,Remedy Partners,Data Scientist - Hourly Intern,54496.0,51771.200000000004,57220.8,,,,
3332,Cisco Systems,Data Scientist - Hourly,114441.6,111716.8,119891.20000000001,242507.2,242507.2,,
3333,GuideWell,Data Scientist - Contractor,131000.0,124450.0,137550.0,,,,
3334,Young Living Essential Oils,Data Scientist,134275.0,128380.0,140170.0,134275.0,134275.0,,
3335,Dascena,Data Scientist,102835.0,98250.0,107420.0,102180.0,102180.0,,
3336,Nielsen,Data Scientist - Contractor,97595.0,94320.0,100870.0,,,,
3337,All Traffic Solutions,Data Scientist - Hourly Intern,65395.200000000004,62670.4,68120.0,,,,
3338,Belk,Data Scientist - Hourly,43596.8,43596.8,46321.6,43596.8,43596.8,,
3339,AdventHealth Corporate,Data Scientist,103490.0,99560.0,107420.0,102835.0,102835.0,,
3340,Analytical Wizards,Data Scientist,172265.0,166370.0,178160.0,174230.0,174230.0,26855.0,
3341,GV Management,Data Scientist,267895.0,258070.0,277720.0,267240.0,267240.0,,
3342,Social Fulcrum,Data Scientist,132965.0,127070.0,138860.0,132310.0,132310.0,13755.0,
3343,A Place for Mom,Data Scientist,154580.0,148030.0,161130.0,155235.0,155235.0,15065.0,
3344,Ahold Delhaize,Data Scientist - Hourly,76294.40000000001,73569.6,81744.0,87193.6,87193.6,,
