,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean
351,Tessian,,140940.0,153120.0,147030.0,147030.0,,,Data Scientist
352,AVL,,69600.0,74820.0,70470.0,70470.0,,,Data Scientist
353,Barclays Global Investors,,62640.0,69600.0,65250.0,65250.0,,,Data Scientist
354,Brandbank,,119433.6,133910.4,126672.0,126672.0,,,Data Scientist
355,Monese,,116580.0,127020.0,120930.0,120930.0,,,Data Scientist
356,Lola's Cupcakes,,50460.0,53940.0,52200.0,52200.0,,,Data Scientist
357,Mind Candy,,71340.0,78300.0,74820.0,74820.0,,,Data Scientist
358,The App Experts (UK),334080.0,26100.0,29580.0,26970.0,26970.0,,,Data Scientist
359,Depop,,93960.0,102660.0,97440.0,97440.0,,,Data Scientist
360,Karhoo,,120060.0,128760.0,125280.0,125280.0,,,Data Scientist
361,US Air Force,,168780.0,182700.0,,,,,Data Scientist
362,QuantumBlack,73080.0,5220.0,6960.0,,,,,Data Scientist Intern
363,Blinkbox Entertainment,,99180.0,107880.0,103530.0,103530.0,10440.0,,Data Scientist
364,Uniper,,59160.0,64380.0,62640.0,62640.0,1699.98,,Data Scientist
365,Scottish Environment Protection Agency,,50460.0,53940.0,52200.0,52200.0,,,Data Scientist
366,Kensington Mortgages,,92220.0,99180.0,96570.0,96570.0,46980.0,,Data Scientist
367,Innovate UK,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
368,Transport Systems Catapult,,46980.0,50460.0,48720.0,48720.0,,,Data Scientist
369,innogy,,199056.0,217152.0,,,,,Data Scientist
370,Hybrid Theory,,73080.0,78300.0,74820.0,74820.0,,,Data Scientist
371,Vantage Point,,38280.0,41760.0,38280.0,38280.0,,,Data Scientist
372,Altius,,127020.0,135720.0,133980.0,133980.0,,,Data Scientist
373,Future Cities Catapult,,109620.0,116580.0,113970.0,113970.0,,,Data Scientist
374,Founders Factory,,74820.0,81780.0,79170.0,79170.0,,,Data Scientist
375,Pepper Financial Services Group,,116580.0,125280.0,121800.0,121800.0,16530.0,,Data Scientist
376,Masternaut,,83520.0,90480.0,87000.0,87000.0,8700.0,,Data Scientist
377,CGA,,43500.0,46980.0,45240.0,45240.0,1710.42,,Data Scientist
378,Nasdaq,,53940.0,57420.0,,,,,Data Scientist Intern
379,Aiimi,,59160.0,62640.0,60900.0,60900.0,,,Data Scientist
380,MiQ,,67860.0,73080.0,68730.0,68730.0,13920.0,,Data Scientist
381,The Plum Guide,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
382,QueryClick,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
383,Cloudera,,118320.0,130500.0,124410.0,124410.0,,,Data Scientist
384,Genomics England,,97440.0,106140.0,102660.0,102660.0,,,Data Scientist
385,Jinn,,69600.0,74820.0,72210.0,72210.0,,,Data Scientist
386,Cuvva,,59160.0,62640.0,60030.0,60030.0,,,Data Scientist
387,Cytora,,64380.0,69600.0,68730.0,68730.0,,,Data Scientist
388,Beamery,,99180.0,107880.0,105270.0,105270.0,,,Data Scientist
389,Intelligent People,,53940.0,59160.0,56550.0,56550.0,,,Data Scientist
390,Lockwood Publishing,,59160.0,64380.0,60030.0,60030.0,,,Data Scientist
391,WRc,,80040.0,87000.0,82650.0,82650.0,,,Data Scientist
392,Angel Solutions,20880.0,1740.0,1740.0,,,,,Data Scientist Intern
393,Blockchain,,102660.0,113100.0,107010.0,107010.0,3480.0,,Data Scientist
394,Stepstone,,64380.0,71340.0,67860.0,67860.0,,,Data Scientist
395,Velocity Black,,73080.0,78300.0,74820.0,74820.0,,,Data Scientist
396,Blue Pelican,,81780.0,88740.0,85260.0,85260.0,,,Data Scientist
397,Bright Network,,53940.0,59160.0,56550.0,56550.0,,,Data Scientist
398,Mrs Wordsmith,,27840.0,31320.0,,,,,Data Scientist Intern
399,Blis,,106140.0,113100.0,109620.0,109620.0,,,Data Scientist
400,MyDrive,,31320.0,34800.0,,,,,Data Scientist Intern
401,Vendigital,,57420.0,62640.0,60900.0,60900.0,,,Data Scientist
402,MyDrive,,95700.0,102660.0,33060.0,33060.0,,,Data Scientist
403,Natural Environment Research Council,,38280.0,41760.0,40020.0,40020.0,,,Data Scientist
404,Together Housing Group,,40020.0,41760.0,40020.0,40020.0,,,Data Scientist
405,Dozens,,100920.0,109620.0,105270.0,105270.0,,,Data Scientist
406,eTech (UK),,40020.0,43500.0,42630.0,42630.0,,,Data Scientist
407,XpertHR,,62640.0,69600.0,66990.0,66990.0,,,Data Scientist
408,BerryWorld,,59160.0,64380.0,62640.0,62640.0,,,Data Scientist
409,Limejump,,88740.0,97440.0,93090.0,93090.0,,,Data Scientist
410,Sparx,31320.0,1740.0,3480.0,,,,,Data Scientist Intern
411,BMLL Technologies,,111360.0,120060.0,,,,,Data Scientist
412,Harper Adams University,,60900.0,66120.0,,,,,Data Scientist
413,TouchNote,,69600.0,74820.0,70470.0,70470.0,,,Data Scientist
414,BMLL Technologies,,116580.0,127020.0,114840.0,114840.0,,,Data Scientist
415,Battelle,114840.0,8700.0,10440.0,9570.0,9570.0,,,Data Scientist
416,Healthcare RM,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
417,Molo Finance,,46980.0,50460.0,48720.0,48720.0,,,Data Scientist
418,Flatiron School,,67860.0,73080.0,69600.0,69600.0,,,Data Scientist
419,Faculty,41760.0,3480.0,3480.0,,,,,Data Scientist
420,dataffirm,,137460.0,147900.0,141810.0,141810.0,,,Data Scientist
421,Vortexa,,128760.0,139200.0,133110.0,133110.0,,,Data Scientist
422,Dice,,71340.0,78300.0,74820.0,74820.0,17.4,,Data Scientist
423,Whizz Education,,88740.0,97440.0,92220.0,92220.0,,,Data Scientist
424,Alibaba Group,104400.0,8700.0,8700.0,8700.0,8700.0,,,Data Scientist
425,Alibaba Group,,116580.0,127020.0,8700.0,8700.0,,,Data Scientist
