,company,company_year_founded,company_review,company_interview_difficulty,company_benefits,company_location,company_industry_Accounting,company_industry_Advertising & Marketing,company_industry_Aerospace & Defense,company_industry_Airlines,company_industry_Architectural & Engineering Services,company_industry_Automotive Parts & Accessories Stores,company_industry_Banks & Credit Unions,company_industry_Biotech & Pharmaceuticals,company_industry_Brokerage Services,"company_industry_Cable, Internet & Telephone Providers",company_industry_Car Rental,company_industry_Casual Restaurants,company_industry_Chemical Manufacturing,company_industry_Colleges & Universities,company_industry_Computer Hardware & Software,company_industry_Construction,company_industry_Consulting,company_industry_Consumer Products Manufacturing,company_industry_Cruise Ships,"company_industry_Department, Clothing, & Shoe Stores",company_industry_Education Training Services,company_industry_Electrical & Electronic Manufacturing,company_industry_Energy,company_industry_Enterprise Software & Network Solutions,company_industry_Federal Agencies,company_industry_Financial Analytics & Research,company_industry_Financial Transaction Processing,company_industry_Food & Beverage Manufacturing,company_industry_Food & Beverage Stores,company_industry_Gambling,company_industry_General Merchandise & Superstores,company_industry_Grantmaking Foundations,company_industry_Grocery Stores & Supermarkets,company_industry_Health Care Services & Hospitals,"company_industry_Hotels, Motels, & Resorts",company_industry_IT Services,company_industry_Industrial Manufacturing,company_industry_Insurance Agencies & Brokerages,company_industry_Insurance Carriers,company_industry_Internet,company_industry_Investment Banking & Asset Management,company_industry_K-12 Education,company_industry_Legal,company_industry_Lending,company_industry_Media & Entertainment Retail Stores,company_industry_Membership Organizations,company_industry_Metal & Mineral Manufacturing,company_industry_Miscellaneous Manufacturing,"company_industry_Museums, Zoos & Amusement Parks",company_industry_News Outlet,company_industry_Oil & Gas Exploration & Production,company_industry_Oil & Gas Services,company_industry_Other Retail Stores,company_industry_Publishing,company_industry_Rail,company_industry_Real Estate,company_industry_Research & Development,company_industry_Security Services,company_industry_Social Assistance,company_industry_Sports & Recreation,company_industry_Staffing & Outsourcing,company_industry_State & Regional Agencies,company_industry_Stock Exchanges,company_industry_TV Broadcast & Cable Networks,company_industry_Telecommunications Manufacturing,company_industry_Telecommunications Services,company_industry_Transportation Equipment Manufacturing,company_industry_Transportation Management,company_industry_Travel Agencies,company_industry_Utilities,company_industry_Venture Capital & Private Equity,company_industry_Video Games,Pet & Pet Supplies Stores,Farm Support Services,Sporting Goods Stores,Funeral Services,Home Centers & Hardware Stores,Health Fundraising Organizations,Home Furniture & Housewares Stores,Bus Transportation Services,Beauty & Personal Accessories Stores,Vehicle Dealers,Preschool & Child Care,Photography,Gas Stations,Talent & Modeling Agencies,Performing Arts,Ticket Sales,Taxi & Limousine Services,Wood Product Manufacturing,Wholesale,Parking Lots & Garages,Veterinary Services,Building & Personnel Services,Audiovisual,Consumer Electronics & Appliances Stores,Auto Repair & Maintenance,General Repair & Maintenance,Food Production,Motion Picture Production & Distribution,Commercial Printing,Radio,Shipping,Truck Rental & Leasing,Express Delivery Services,Music Production & Distribution,Upscale Restaurants,Municipal Governments,"Health, Beauty, & Fitness",Health Care Products Manufacturing,Business Service Centers & Copy Shops,Fast-Food & Quick-Service Restaurants,Trucking,Consumer Product Rental,Catering & Food Service Contractors,Commercial Equipment Rental,"Gift, Novelty & Souvenir Stores",Logistics & Supply Chain,Metals Brokers,Self-Storage Services ,Drug & Health Stores,Passenger Rail,Animal Production,Auctions & Galleries,Mining,Office Supply Stores,company_revenue_$1 to $2 billion (USD),company_revenue_$1 to $5 million (USD),company_revenue_$10 to $25 million (USD),company_revenue_$10+ billion (USD),company_revenue_$100 to $500 million (USD),company_revenue_$2 to $5 billion (USD),company_revenue_$25 to $50 million (USD),company_revenue_$5 to $10 billion (USD),company_revenue_$5 to $10 million (USD),company_revenue_$50 to $100 million (USD),company_revenue_$500 million to $1 billion (USD),company_revenue_Less than $1 million (USD),company_size_1 to 50 Employees,company_size_10000+ Employees,company_size_1001 to 5000 Employees,company_size_201 to 500 Employees,company_size_5001 to 10000 Employees,company_size_501 to 1000 Employees,company_size_51 to 200 Employees,company_type_College / University,company_type_Company - Private,company_type_Company - Public,company_type_Government,company_type_Hospital,company_type_Nonprofit Organization,company_type_Other Organization,company_type_Subsidiary or Business Segment,Contract,School / School District,Private Practice / Firm,Self-employed,Franchise,company_lat,company_long
10,HSBC Holdings,1865.0,3.7,2.9,4.0,"London, United Kingdom",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.50853,-0.12574
11,Vodafone,1982.0,3.9,2.9,4.2,"Newbury, United Kingdom",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.40148,-1.32471
12,Capgemini,1967.0,3.8,2.8,3.6,"Paris, France",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48.85341,2.3488
13,IQVIA,2017.0,3.7,2.9,3.7,"Durham, NC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.99403,-78.89862
14,Facebook,2004.0,4.5,3.1,4.7,"Menlo Park, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.45383,-122.18219
15,Admiral Group,1993.0,4.0,3.0,0.0,"Cardiff, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.48,-3.18
16,Mango Solutions,2002.0,4.5,3.5,0.0,"Chippenham, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51.46,-2.12472
17,Faculty,2014.0,4.0,3.2,,"London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51.50853,-0.12574
18,Deloitte,1850.0,3.8,3.0,4.2,"New York, NY",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.71427,-74.00597
19,BBC,1922.0,4.0,3.1,3.4,"London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51.50853,-0.12574
20,Unilever,1872.0,4.1,3.2,4.0,"London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.50853,-0.12574
21,BAE Systems Applied Intelligence,1971.0,3.3,3.0,3.6,"Guildford, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.23536,-0.57427
22,Ocado Group,2000.0,3.5,2.5,0.0,"Hatfield, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.76338,-0.22419
23,easyJet,1995.0,4.1,2.9,0.0,"Luton, United Kingdom",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51.87967,-0.41748
24,dunnhumby,1989.0,4.1,3.0,4.4,"Hammersmith, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51.49384,-0.22882
25,iwoca,2012.0,4.3,3.0,0.0,"London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51.50853,-0.12574
