,company,position,salary,lower_bound_salary,upper_bound_salary,url
118,Statistics Canada,Data Scientist - Intern,$29K - CA$31K,CA$29K,CA$31K,"/Intern-Salary/Statistics-Canada-Canada-Internship-Salary-EI_IE148502.0,17_IL.18,24_IN3.htm?filter.jobTitleFTS=Data+Scientist"
119,Statistics Canada,Data Scientist - Hourly,$22 - CA$24hourly,CA$22,CA$24,"/Hourly-Pay/Statistics-Canada-Data-Scientist-Canada-Hourly-Pay-EJI_IE148502.0,17_KO18,32_IL.33,39_IN3.htm"
120,Ontario Ministry of Education,Data Scientist,$76K - CA$81K,CA$76K,CA$81K,"/Salary/Ontario-Ministry-of-Education-Data-Scientist-Canada-Salaries-EJI_IE254966.0,29_KO30,44_IL.45,51_IN3.htm"
121,Fortinet,Data Scientist,$91K - CA$97K,CA$91K,CA$97K,"/Salary/Fortinet-Data-Scientist-Canada-Salaries-EJI_IE23128.0,8_KO9,23_IL.24,30_IN3.htm"
122,PointClickCare,Data Scientist,$79K - CA$86K,CA$79K,CA$86K,"/Salary/PointClickCare-Data-Scientist-Canada-Salaries-EJI_IE452666.0,14_KO15,29_IL.30,36_IN3.htm"
123,Sanofi,Data Scientist - Hourly Intern,$26 - CA$28hourly,CA$26,CA$28,"/Intern-Salary/Sanofi-Canada-Internship-Salary-EI_IE9347.0,6_IL.7,13_IN3.htm?filter.jobTitleFTS=Data+Scientist"
124,WorkSafeBC,Data Scientist,$130K - CA$140K,CA$130K,CA$140K,"/Salary/WorkSafeBC-Data-Scientist-Canada-Salaries-EJI_IE150646.0,10_KO11,25_IL.26,32_IN3.htm"
125,Gameloft,Data Scientist,$67K - CA$73K,CA$67K,CA$73K,"/Salary/Gameloft-Data-Scientist-Canada-Salaries-EJI_IE18006.0,8_KO9,23_IL.24,30_IN3.htm"
126,Ministry of the Environment and Climate Change,Data Scientist,$88K - CA$95K,CA$88K,CA$95K,"/Salary/Ministry-of-the-Environment-and-Climate-Change-Data-Scientist-Canada-Salaries-EJI_IE389769.0,46_KO47,61_IL.62,68_IN3.htm"
127,BMO Capital Markets,Data Scientist - Intern,$64K - CA$70K,CA$64K,CA$70K,"/Intern-Salary/BMO-Capital-Markets-Canada-Internship-Salary-EI_IE27668.0,19_IL.20,26_IN3.htm?filter.jobTitleFTS=Data+Scientist"
128,Flipp,Data Scientist - Hourly Intern,$17 - CA$18hourly,CA$17,CA$18,"/Intern-Salary/Flipp-Canada-Internship-Salary-EI_IE970799.0,5_IL.6,12_IN3.htm?filter.jobTitleFTS=Data+Scientist"
