,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
1421,Dotdash,Data Scientist,$112K - $122K,$112K,$122K,$111K - $122K,$111K - $122K,,
1422,Siemens PLM Software,Data Scientist - Hourly,$26 - $28hourly,$26,$28,$26 - $28,$26 - $28,,
1423,Bartech Staffing,Data Scientist,$95K - $103K,$95K,$103K,$95K - $104K,$95K - $104K,,
1424,SeatGeek,Data Scientist,$125K - $137K,$125K,$137K,$127K - $137K,$127K - $137K,,
1425,Ampt,Data Scientist,$64K - $70K,$64K,$70K,$64K - $69K,$64K - $69K,,
1426,HouseCanary,Data Scientist,$118K - $127K,$118K,$127K,$119K - $128K,$119K - $128K,,
1427,Michigan State University,Data Scientist,$82K - $88K,$82K,$88K,$82K - $89K,$82K - $89K,,
1428,EY,Data Scientist - Hourly Intern,$53 - $57hourly,$53,$57,,,,
1429,DirectAvenue,Data Scientist,$92K - $100K,$92K,$100K,$93K - $101K,$93K - $101K,,
1430,Guardian Analytics,Data Scientist,$123K - $134K,$123K,$134K,$125K - $133K,$125K - $133K,,
1431,McGraw Hill,Data Scientist - Hourly Intern,$52 - $56hourly,$52,$56,,,,
1432,DigiCert,Data Scientist,$72K - $78K,$72K,$78K,$72K - $77K,$72K - $77K,,
1433,BlueAlly,Data Scientist,$81K - $87K,$81K,$87K,$81K - $88K,$81K - $88K,,
1434,L3 Technologies,Data Scientist - Hourly Intern,$26 - $29hourly,$26,$29,,,,
1435,3TEN8,Data Scientist,$178K - $194K,$178K,$194K,$180K - $194K,$180K - $194K,,
1436,State of New Jersey Department of Health,Data Scientist - Hourly,$37 - $40hourly,$37,$40,$37 - $40,$37 - $40,,
1437,Analytics Media Group,Data Scientist - Hourly Intern,$16 - $17hourly,$16,$17,,,,
1438,Spaceflight Industries,Data Scientist - Hourly Intern,$15 - $16hourly,$15,$16,,,,
1439,KeepTruckin,Data Scientist - Hourly Intern,$49 - $53hourly,$49,$53,,,,
1440,LabCorp,Data Scientist,$70K - $75K,$70K,$75K,$23 - $25,$23 - $25,,
1441,BASF,Data Scientist,$99K - $108K,$99K,$108K,$30 - $33,$30 - $33,,
1442,Najarian Capital,Data Scientist,$87K - $95K,$87K,$95K,$88K - $96K,$88K - $96K,,
1443,University of Utah,Data Scientist - Hourly Intern,$12 - $13hourly,$12,$13,,,,
1444,AMD,Data Scientist - Hourly Intern,$28 - $31hourly,$28,$31,,,,
1445,Cornerstone OnDemand,Data Scientist,$126K - $137K,$126K,$137K,$125K - $136K,$125K - $136K,,
1446,Bizrate Insights,Data Scientist,$112K - $121K,$112K,$121K,$113K - $121K,$113K - $121K,,
1447,Systematrix,Data Scientist,$96K - $105K,$96K,$105K,$97K - $104K,$97K - $104K,,
1448,Stansberry Research,Data Scientist - Hourly,$15 - $17hourly,$15,$17,$15 - $17,$15 - $17,,
1449,Morelity,Data Scientist - Hourly Intern,$19 - $20hourly,$19,$20,,,,
1450,Sony,Data Scientist - Hourly Intern,$28 - $29hourly,$28,$29,,,,
1451,Dentsu Aegis Network,Data Scientist,$98K - $105K,$98K,$105K,$97K - $105K,$97K - $105K,,
1452,Collabera,Data Scientist - Hourly,$54 - $57hourly,$54,$57,$48 - $52,$48 - $52,,
1453,Chevron,Data Scientist - Monthly Intern,$4K - $4K,$4K,$4K,,,,
1454,Instart,Data Scientist,$100K - $110K,$100K,$110K,$102K - $109K,$102K - $109K,,
1455,Esurance,Data Scientist - Hourly Intern,$21 - $23hourly,$21,$23,,,,
1456,C-K,Data Scientist,$105K - $115K,$105K,$115K,$104K - $113K,$104K - $113K,,
1457,Gram Laboratories,Data Scientist,$98K - $105K,$98K,$105K,$98K - $107K,$98K - $107K,,
1458,J. C. Penney,Data Scientist - Hourly Intern,$27 - $30hourly,$27,$30,,,,
1459,UnitedMasters,Data Scientist - Hourly Intern,$15 - $15hourly,$15,$15,,,,
1460,Drawbridge,Data Scientist,$142K - $155K,$142K,$155K,$141K - $154K,$141K - $154K,,
1461,Jackson Lewis,Data Scientist,$191K - A$208K,A$191K,A$208K,A$190K - A$210K,A$190K - A$210K,,
1462,CallidusCloud,Data Scientist,$84K - $92K,$84K,$92K,$85K - $91K,$85K - $91K,$2K - $2K,
1463,CAC America,Data Scientist - Hourly,$48 - $52hourly,$48,$52,$48 - $52,$48 - $52,,
1464,Central Dynamics,Data Scientist,$80K - $86K,$80K,$86K,$80K - $86K,$80K - $86K,,
1465,Levi Strauss,Data Scientist,$142K - $155K,$142K,$155K,$141K - $153K,$141K - $153K,,
1466,Bell Laboratories,Data Scientist - Hourly Intern,$33 - $36hourly,$33,$36,,,,
1467,Movoto Real Estate,Data Scientist,$111K - $121K,$111K,$121K,$111K - $120K,$111K - $120K,,
1468,National Grid,Data Scientist,$104K - $113K,$104K,$113K,$105K - $113K,$105K - $113K,,
1469,Xyant Technology,Data Scientist - Hourly,$19 - $20hourly,$19,$20,$18 - $20,$18 - $20,,
1470,AI.,Data Scientist,$109K - $118K,$109K,$118K,$107K - $117K,$107K - $117K,$10K - $11K,
1471,DataEconomy,Data Scientist,$98K - $106K,$98K,$106K,$98K - $106K,$98K - $106K,$2K - $3K,
1472,12 Sigma Technologies,Data Scientist,$96K - $102K,$96K,$102K,$95K - $103K,$95K - $103K,,
1473,Bechtel,Data Scientist,$139K - $151K,$139K,$151K,$140K - $153K,$140K - $153K,,
1474,MediaBrix,Data Scientist,$106K - $114K,$106K,$114K,$105K - $114K,$105K - $114K,,
1475,Sabre,Data Scientist,$80K - $86K,$80K,$86K,$79K - $87K,$79K - $87K,,
1476,neighborhoods.com,Data Scientist,$124K - $135K,$124K,$135K,$124K - $136K,$124K - $136K,,
1477,Business Integra,Data Scientist,$100K - $108K,$100K,$108K,$99K - $108K,$99K - $108K,,
