,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
73,BMO Financial Group,Data Scientist - Intern,$44K - CA$47K,CA$44K,CA$47K,,,,
74,BMO Financial Group,Data Scientist,$10K - CA$10K,CA$10K,CA$10K,CA$10K - CA$10K,CA$10K - CA$10K,,
75,Loblaw Companies,Data Scientist - Hourly,$14 - CA$15hourly,CA$14,CA$15,CA$14 - CA$15,CA$14 - CA$15,,
76,Loblaw Companies,Data Scientist - Hourly Intern,$27 - CA$30hourly,CA$27,CA$30,,,,
77,Loblaw Companies,Data Scientist - Contractor,$76K - CA$84K,CA$76K,CA$84K,,,,
78,BlackBerry,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$22 - CA$24,CA$22 - CA$24,,
79,BlackBerry,Data Scientist - Hourly Intern,$23 - CA$24hourly,CA$23,CA$24,,,,
80,University of Waterloo,Data Scientist,$67K - CA$73K,CA$67K,CA$73K,CA$68K - CA$73K,CA$68K - CA$73K,,
81,CGI,Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,,,,
82,Canadian Tire,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$81K - CA$89K,CA$81K - CA$89K,,
83,McMaster University,Data Scientist - Contractor,$63K - CA$68K,CA$63K,CA$68K,,,,
84,Manulife,Data Scientist - Contractor,$105K - CA$114K,CA$105K,CA$114K,,,,
85,BC Hydro,Data Scientist - Hourly Contractor,$39 - CA$42hourly,CA$39,CA$42,,,,
86,Accenture,Data Scientist,$64K - CA$70K,CA$64K,CA$70K,CA$65K - CA$70K,CA$65K - CA$70K,,
87,McGill University,Data Scientist,$43K - CA$47K,CA$43K,CA$47K,CA$43K - CA$47K,CA$43K - CA$47K,,
88,SAP,Data Scientist - Hourly,$24 - CA$26hourly,CA$24,CA$26,CA$24 - CA$26,CA$24 - CA$26,,
89,SAP,Data Scientist - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,,,,
90,Ryerson University,Data Scientist,$50K - CA$53K,CA$50K,CA$53K,CA$49K - CA$53K,CA$49K - CA$53K,,
91,University of Calgary,Data Scientist,$78K - CA$86K,CA$78K,CA$86K,CA$79K - CA$85K,CA$79K - CA$85K,,
92,Sun Life,Data Scientist,$98K - CA$106K,CA$98K,CA$106K,CA$98K - CA$106K,CA$98K - CA$106K,,
93,Government of Canada,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,CA$67K - CA$72K,CA$67K - CA$72K,,
94,Banque Nationale du Canada/National Bank of Canada,Data Scientist,$74K - CA$79K,CA$74K,CA$79K,"CA$74,945","CA$5,045","CA$5,045","CA$1,536"
95,Banque Nationale du Canada/National Bank of Canada,Data Scientist - Intern,$58K - CA$62K,CA$58K,CA$62K,,,,
96,Ubisoft,Data Scientist - Intern,$29K - CA$32K,CA$29K,CA$32K,,,,
97,Carleton University,Data Scientist,$310K - CA$342K,CA$310K,CA$342K,CA$313K - CA$339K,CA$313K - CA$339K,,
98,Shopify,Data Scientist - Intern,$92K - CA$99K,CA$92K,CA$99K,,,,
99,Shopify,Data Scientist - Intern,$74K - $82K,$74K,$82K,,,,
100,Shopify,Data Scientist - Monthly Intern,$6K - CA$6K,CA$6K,CA$6K,,,,
101,Microsoft,Data Scientist,$97K - CA$105K,CA$97K,CA$105K,CA$97K - CA$105K,CA$97K - CA$105K,,
102,ATB Financial,Data Scientist - Hourly,$57 - CA$62hourly,CA$57,CA$62,CA$57 - CA$63,CA$57 - CA$63,,
103,GoodLife Fitness,Data Scientist,$61K - CA$66K,CA$61K,CA$66K,CA$60K - CA$65K,CA$60K - CA$65K,CA$4K - CA$4K,
104,MNP LLP,Data Scientist,$97K - CA$104K,CA$97K,CA$104K,CA$96K - CA$105K,CA$96K - CA$105K,,
105,Concordia University,Data Scientist,$21K - CA$23K,CA$21K,CA$23K,CA$21K - CA$23K,CA$21K - CA$23K,,
106,Cisco Systems,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$41 - CA$44,CA$41 - CA$44,,
107,Cisco Systems,Data Scientist - Hourly Intern,$40 - CA$44hourly,CA$40,CA$44,,,,
108,Morgan Stanley,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,CA$131K - CA$163K,CA$131K - CA$163K,,
109,LoyaltyOne,Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,,,,
110,LoyaltyOne,Data Scientist - Hourly Intern,$31 - CA$33hourly,CA$31,CA$33,,,,
111,Pratt & Whitney Canada,Data Scientist - Monthly Intern,$2K - CA$3K,CA$2K,CA$3K,,,,
112,CBC/Radio-Canada,Data Scientist,$82K - CA$89K,CA$82K,CA$89K,CA$82K - CA$89K,CA$82K - CA$89K,,
113,Hootsuite,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$80K - CA$87K,CA$80K - CA$87K,,
114,BGIS,Data Scientist,$107K - CA$114K,CA$107K,CA$114K,CA$105K - CA$115K,CA$105K - CA$115K,,CA$14 - CA$16
115,Google,Data Scientist,$38K - CA$42K,CA$38K,CA$42K,CA$39K - CA$41K,CA$39K - CA$41K,,
116,University of Victoria,Data Scientist - Contractor,$81K - CA$88K,CA$81K,CA$88K,,,,
117,Ontario Teachers' Pension Plan,Data Scientist - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,,,,
118,Statistics Canada,Data Scientist - Intern,$29K - CA$31K,CA$29K,CA$31K,,,,
119,Statistics Canada,Data Scientist - Hourly,$22 - CA$24hourly,CA$22,CA$24,CA$19 - CA$24,CA$19 - CA$24,,
120,Ontario Ministry of Education,Data Scientist,$76K - CA$81K,CA$76K,CA$81K,CA$75K - CA$82K,CA$75K - CA$82K,,
121,Fortinet,Data Scientist,$91K - CA$97K,CA$91K,CA$97K,CA$91K - CA$98K,CA$91K - CA$98K,,CA$20K - CA$21K
122,PointClickCare,Data Scientist,$79K - CA$86K,CA$79K,CA$86K,CA$79K - CA$86K,CA$79K - CA$86K,,
123,Sanofi,Data Scientist - Hourly Intern,$26 - CA$28hourly,CA$26,CA$28,,,,
124,WorkSafeBC,Data Scientist,$130K - CA$140K,CA$130K,CA$140K,CA$131K - CA$141K,CA$131K - CA$141K,,
125,Gameloft,Data Scientist,$67K - CA$73K,CA$67K,CA$73K,CA$68K - CA$72K,CA$68K - CA$72K,,
126,Ministry of the Environment and Climate Change,Data Scientist,$88K - CA$95K,CA$88K,CA$95K,CA$88K - CA$95K,CA$88K - CA$95K,,
127,BMO Capital Markets,Data Scientist - Intern,$64K - CA$70K,CA$64K,CA$70K,,,,
128,Flipp,Data Scientist - Hourly Intern,$17 - CA$18hourly,CA$17,CA$18,,,,
129,Top Hat,Data Scientist,$96K - CA$104K,CA$96K,CA$104K,CA$95K - CA$104K,CA$95K - CA$104K,,
130,SSENSE,Data Scientist,$68K - CA$74K,CA$68K,CA$74K,CA$68K - CA$75K,CA$68K - CA$75K,CA$7K - CA$7K,
131,Environment Canada,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,CA$67K - CA$73K,CA$67K - CA$73K,,
132,Cossette Communication,Data Scientist,$62K - CA$69K,CA$62K,CA$69K,CA$62K - CA$68K,CA$62K - CA$68K,,
133,GlaxoSmithKline,Data Scientist,$91K - CA$98K,CA$91K,CA$98K,CA$92K - CA$100K,CA$92K - CA$100K,,
134,Lightspeed,Data Scientist,$71K - CA$78K,CA$71K,CA$78K,CA$72K - CA$78K,CA$72K - CA$78K,,
135,St. Michael's Hospital,Data Scientist - Hourly,$35 - CA$38hourly,CA$35,CA$38,CA$35 - CA$38,CA$35 - CA$38,,
136,Kingston General Hospital,Data Scientist,$80K - CA$86K,CA$80K,CA$86K,CA$79K - CA$86K,CA$79K - CA$86K,,
137,Unilever,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,CA$78K - CA$83K,CA$78K - CA$83K,,
138,ABC,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,CA$78K - CA$84K,CA$78K - CA$84K,,
139,ABC,Data Scientist,$77K - CA$84K,CA$77K,CA$84K,CA$78K - CA$84K,CA$78K - CA$84K,,
140,Health Canada,Data Scientist,$80K - CA$88K,CA$80K,CA$88K,CA$80K - CA$87K,CA$80K - CA$87K,,
141,IQVIA,Data Scientist,$38K - CA$41K,CA$38K,CA$41K,CA$78K - CA$105K,CA$78K - CA$105K,CA$8K - CA$13K,
142,Ritchie Bros.,Data Scientist,$104K - CA$112K,CA$104K,CA$112K,CA$103K - CA$111K,CA$103K - CA$111K,CA$20K - CA$21K,CA$2K - CA$2K
143,Self,Data Scientist,$96K - CA$103K,CA$96K,CA$103K,CA$97K - CA$103K,CA$97K - CA$103K,,
144,Nutrien,Data Scientist,$72K - CA$78K,CA$72K,CA$78K,CA$72K - CA$77K,CA$72K - CA$77K,,
145,Tech Mahindra,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,CA$67K - CA$72K,CA$67K - CA$72K,,
146,Finastra,Data Scientist,$76K - CA$83K,CA$76K,CA$83K,CA$76K - CA$82K,CA$76K - CA$82K,CA$8K - CA$9K,
147,Alberta Motor Association,Data Scientist,$82K - CA$89K,CA$82K,CA$89K,CA$82K - CA$88K,CA$82K - CA$88K,,
148,Revenu Quebec,Data Scientist,$84K - CA$91K,CA$84K,CA$91K,CA$85K - CA$92K,CA$85K - CA$92K,,
149,Toronto Star,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,CA$57K - CA$63K,CA$57K - CA$63K,CA$2K - CA$2K,
150,Federal Government,Data Scientist,$117K - CA$127K,CA$117K,CA$127K,CA$118K - CA$127K,CA$118K - CA$127K,,
151,Tucows,Data Scientist,$63K - CA$68K,CA$63K,CA$68K,CA$63K - CA$68K,CA$63K - CA$68K,,
152,Kronos Incorporated,Data Scientist,$70K - CA$77K,CA$70K,CA$77K,CA$71K - CA$77K,CA$71K - CA$77K,,
153,Employment and Social Development Canada,Data Scientist,$56K - CA$61K,CA$56K,CA$61K,CA$57K - CA$61K,CA$57K - CA$61K,,
154,The Globe & Mail,Data Scientist - Intern,$58K - CA$63K,CA$58K,CA$63K,,,,
155,Pratt & Whitney,Data Scientist,$44K - CA$48K,CA$44K,CA$48K,CA$44K - CA$48K,CA$44K - CA$48K,,
156,Northbridge Insurance,Data Scientist - Hourly Intern,$25 - CA$27hourly,CA$25,CA$27,,,,
157,Pitney Bowes,Data Scientist,$86K - CA$93K,CA$86K,CA$93K,CA$87K - CA$93K,CA$87K - CA$93K,,
158,Yardi Systems,Data Scientist,$71K - CA$77K,CA$71K,CA$77K,CA$71K - CA$76K,CA$71K - CA$76K,,
159,Seedbox Technologies,Data Scientist,$49K - CA$53K,CA$49K,CA$53K,CA$50K - CA$54K,CA$50K - CA$54K,,
160,Rocky Mountaineer,Data Scientist,$63K - CA$67K,CA$63K,CA$67K,CA$62K - CA$67K,CA$62K - CA$67K,CA$4K - CA$4K,
